Date,Momentum,Value,Both
2016-01-31,1e5,1e5,1e5
2016-02-29,97193.71513890801,98635.39795240088,97914.55654565444
2016-03-31,100049.72098896721,102968.92169892584,101509.32134394653
2016-04-30,102728.51086061654,103437.38630818942,103082.94858440298
2016-05-31,94035.12495135044,105161.59986942234,99598.36241038638
2016-06-30,91824.52926895293,101473.84868322583,96649.18897608938
2016-07-31,99331.07657044218,106333.91815815539,102832.49736429879
2016-08-31,104186.76909585022,106834.12027083292,105510.44468334157
2016-09-30,111939.38151373033,110379.57468961227,111159.4781016713
2016-10-31,112583.84337206214,109574.94303588408,111079.3932039731
2016-11-30,115520.80444800305,111182.47571943206,113351.64008371756
2016-12-31,115811.89293925682,119579.37951790717,117695.636228582
2017-01-31,124720.31804528741,143856.22735613942,134288.27270071342
2017-02-28,122052.81574890467,143792.0907254676,132922.45323718613
2017-03-31,135303.7485708052,152903.75909711412,144103.75383395966
2017-04-30,146107.4700327931,168214.62421207965,157161.04712243637
2017-05-31,146668.89288552286,171019.6406132905,158844.2667494067
2017-06-30,144036.08701433905,162754.05573336073,153395.07137384987
2017-07-31,148359.19342184262,171253.23714218545,159806.21528201405
2017-08-31,149195.73632743282,163139.32757051275,156167.53194897278
2017-09-30,155725.93567606714,165586.135447925,160656.03556199605
2017-10-31,145076.06912663917,158014.8873097119,151545.47821817553
2017-11-30,137976.04067737536,148478.651564864,143227.34612111968
2017-12-31,136392.84260426735,147821.603409822,142107.2230070447
